Wkrnr,Wahlkreisname,Bundesland,Einwohner,Migrationshintergrund Anteil,Verfügbares Einkommen PP im Monat,Wahlberechtigte Zweitstimmen,Wähler Zweitstimmen,Ungültige Zweitstimmen,Gültige Zweitstimmen,Sozialdemokratische Partei Deutschlands Zweitstimmen,DIE LINKE Zweitstimmen,BÜNDNIS 90 DIE GRÜNEN Zweitstimmen,Freie Demokratische Partei Zweitstimmen,Alternative für Deutschland Zweitstimmen,UNION Zweitstimmen
1,Flensburg – Schleswig,Schleswig-Holstein,282.8,0.1,20265,228471,171914,1449,170465,40388,14002,22304,18955,11653,58320
2,Nordfriesland – Dithmarschen Nord,Schleswig-Holstein,232.3,0.08,22159,186568,139194,1123,138071,31120,8589,15144,18050,9030,52928
3,Steinburg – Dithmarschen Süd,Schleswig-Holstein,220.8,0.092,20896,176636,132017,1139,130878,29756,8732,12960,17298,11180,47366
4,Rendsburg-Eckernförde,Schleswig-Holstein,248.7,0.085,22093,200831,157354,1087,156267,35766,9962,19337,19071,11578,56585
5,Kiel,Schleswig-Holstein,268,0.18,18637,204650,153273,1204,152069,36208,15546,26143,17804,10504,40736
6,Plön – Neumünster,Schleswig-Holstein,219.8,0.108,20395,174937,131713,1199,130514,31013,8503,16350,16481,11161,43778
7,Pinneberg,Schleswig-Holstein,307.5,0.15,23766,238533,187715,1343,186372,42729,13111,21336,24735,15977,63863
8,Segeberg – Stormarn-Mitte,Schleswig-Holstein,313.2,0.133,22791,247296,193280,1335,191945,43027,13237,21010,26043,17166,66367
9,Ostholstein – Stormarn-Nord,Schleswig-Holstein,219.3,0.084,21962,181522,138439,1144,137295,33764,8303,13493,18147,11782,48898
10,Herzogtum Lauenburg – Stormarn-Süd,Schleswig-Holstein,311.1,0.127,23628,244930,193334,1363,191971,42815,12480,20826,26163,18792,66031
11,Lübeck,Schleswig-Holstein,235.3,0.165,19238,181638,130961,1167,129794,32919,12213,16568,14097,11539,38263
12,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,Mecklenburg-Vorpommern,270.9,0.047,18008,216800,157071,1660,155411,28947,25929,6606,9879,25692,51083
13,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,Mecklenburg-Vorpommern,248.8,0.036,18081,205876,146768,1657,145111,25029,24409,5521,9008,25688,48841
14,Rostock – Landkreis Rostock II,Mecklenburg-Vorpommern,271.6,0.055,16879,222913,164016,1694,162322,25650,33575,10229,10661,25171,49433
15,Vorpommern-Rügen – Vorpommern-Greifswald I,Mecklenburg-Vorpommern,292.3,0.033,17287,240887,169528,2116,167412,20405,30107,8498,11490,32881,55110
16,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,Mecklenburg-Vorpommern,273.3,0.033,16955,226039,156965,2152,154813,19064,27246,4068,8659,35595,51789
17,Mecklenburgische Seenplatte II – Landkreis Rostock III,Mecklenburg-Vorpommern,255.6,0.026,17802,212099,144239,1798,142441,20594,24102,4592,8198,27382,51007
18,Hamburg-Mitte,Hamburg,350.1,0.283,23596,243543,175731,1438,174293,41551,26109,25164,16255,13940,40909
19,Hamburg-Altona,Hamburg,260.3,0.283,23596,185944,146090,864,145226,29680,22766,26036,16306,8028,36139
20,Hamburg-Eimsbüttel,Hamburg,252.9,0.283,23596,192399,156013,810,155203,34575,19290,26372,17463,9138,41826
21,Hamburg-Nord,Hamburg,279.8,0.283,23596,217226,178760,886,177874,38150,16720,25584,24652,10963,55737
22,Hamburg-Wandsbek,Hamburg,314.7,0.283,23596,235513,172574,1273,171301,45542,16847,17773,17621,16732,49482
23,Hamburg-Bergedorf – Harburg,Hamburg,329.5,0.283,23596,222031,155758,1537,154221,40364,17344,15442,13313,17710,42219
24,Aurich – Emden,Niedersachsen,239.9,0.088,18428,191541,142676,1605,141071,53353,10142,10503,10079,12877,39552
25,Unterems,Niedersachsen,314.5,0.134,18302,235234,176342,1390,174952,48194,9459,10258,13629,14620,74173
26,Friesland – Wilhelmshaven – Wittmund,Niedersachsen,231.1,0.099,18657,189344,139153,1557,137596,42207,9738,9984,12958,12490,45098
27,Oldenburg – Ammerland,Niedersachsen,285.3,0.139,19758,226253,175967,1286,174681,45514,16351,21821,18136,12625,53417
28,Delmenhorst – Wesermarsch – Oldenburg-Land,Niedersachsen,294.2,0.151,20248,227696,170194,1375,168819,47622,11567,13525,17076,16392,56526
